id,title,amount,category,merchant,date,notes
1,Morning Coffee,5.20,Food & Drink,Starbucks,2025-11-01T08:15:00Z,Before class
2,Grocery Shopping,38.50,Groceries,Walmart,2025-11-02T17:45:00Z,Weekly groceries
3,Bus Ticket,1.50,Transport,City Bus,2025-11-03T07:50:00Z,Commute to university
4,Lunch,12.00,Food & Drink,Subway,2025-11-03T13:00:00Z,Quick lunch
5,Spotify Subscription,9.99,Entertainment,Spotify,2025-11-04T09:00:00Z,Monthly renewal
6,Electricity Bill,55.00,Bills,Jordan Electric Co.,2025-11-04T15:30:00Z,Monthly payment
7,Dinner,18.50,Food & Drink,Pizza Hut,2025-11-05T20:00:00Z,Family dinner
8,Taxi Ride,4.25,Transport,Careem,2025-11-06T18:30:00Z,Trip to mall
9,Headphones,32.00,Electronics,TechZone,2025-11-06T14:15:00Z,Replacement
10,Online Course,20.00,Education,Udemy,2025-11-07T10:00:00Z,Course purchase
11,Pizza,11.50,Food & Drink,Domino's,2025-11-08T21:00:00Z,Weekend treat
12,Gym Membership,25.00,Fitness,Gold's Gym,2025-11-09T08:30:00Z,Weekly renewal
13,Laptop Charger,40.00,Electronics,Best Buy,2025-11-10T13:20:00Z,Replacement
14,Stationery,8.50,Education,Office One,2025-11-10T11:15:00Z,Notebooks and pens
15,Netflix Subscription,14.99,Entertainment,Netflix,2025-11-11T20:00:00Z,Monthly subscription
16,Breakfast Sandwich,5.50,Food & Drink,McDonald's,2025-11-11T07:30:00Z,Quick breakfast
17,Uber Ride,3.25,Transport,Uber,2025-11-12T07:50:00Z,Commute
18,Data Plan,10.00,Bills,Zain,2025-11-13T12:00:00Z,Prepaid mobile data
19,Birthday Gift,24.00,Shopping,H&M,2025-11-14T16:00:00Z,Gift for friend
20,Ice Cream,3.50,Food & Drink,Cold Stone,2025-11-15T19:00:00Z,Treat after gym
